item_id,domain,unit_scope,audit_question,risk_description,risk_level,source_citation,recommendation,review_status
CHK_01,An toàn kho quỹ,Chi nhánh loại 1,Chi nhánh loại 1 có tuân thủ yêu cầu an toàn vận chuyển/kho tiền tại Điều 1. Phạm vi và đối tượng tuân thủ không?,Thất thoát tiền mặt hoặc xâm phạm an toàn kho quỹ do không đáp ứng phương án bảo vệ.,HIGH,"[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 1 | doc_agr_at01_01]
[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 39. Đối tượng được vào kho tiền | doc_44209_điều_39__đối_tượng_được_vào_kho_tiền_39]","Đối chiếu hồ sơ chuyến vận chuyển, phương tiện, nhân sự bảo vệ và biên bản kiểm soát thực tế.",NEEDS_HUMAN_REVIEW
CHK_02,An toàn kho quỹ,Chi nhánh loại 1,Chi nhánh loại 1 có tuân thủ yêu cầu an toàn vận chuyển/kho tiền tại Điều 12. Xe bọc thép và phương án bảo vệ không?,Thất thoát tiền mặt hoặc xâm phạm an toàn kho quỹ do không đáp ứng phương án bảo vệ.,HIGH,"[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 12 | doc_agr_at01_02]
[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 56. Trách nhiệm bảo vệ vận chuyển | doc_44209_điều_56__trách_nhiệm_bảo_vệ_vận_chuyển_56]","Đối chiếu hồ sơ chuyến vận chuyển, phương tiện, nhân sự bảo vệ và biên bản kiểm soát thực tế.",NEEDS_HUMAN_REVIEW
CHK_03,An toàn kho quỹ,Chi nhánh loại 1,"Chi nhánh loại 1 có thực hiện kiểm đếm, giám sát và niêm phong theo Điều 25. Kiểm đếm và niêm phong tiền nghi giả không?","Sai lệch kiểm đếm, thất thoát hoặc không phát hiện tiền nghi giả kịp thời.",MEDIUM,"[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 25 | doc_agr_at01_03]
[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 62. Hội đồng kiểm kê, Hội đồng kiểm đếm, phân loại tiền | doc_44209_điều_62__hội_đồng_kiểm_kê__hội_đồng_kiểm_đếm__phân_loại_tiền_62]","Kiểm tra video giám sát, biên bản kiểm đếm, biên bản niêm phong và thời điểm báo cáo.",NEEDS_HUMAN_REVIEW
CHK_04,An toàn kho quỹ,Chi nhánh loại 1,Chi nhánh loại 1 có thực hiện đúng yêu cầu tại Điều 30. Trách nhiệm của Ban Quản lý kho tiền không?,Vi phạm quy định nội bộ và phát sinh rủi ro vận hành.,MEDIUM,"[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 30 | doc_agr_at01_04]
[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 26. Quy định ủy quyền của các thành viên tham gia quản lý tiền mặt, tài sản quý, giấy tờ có giá và kho tiền | doc_44209_điều_26__quy_định_ủy_quyền_của_các_thành_viên_tham_gia_quản_lý_tiền_mặt__tài_sản_quý__giấy_tờ_có_giá_và_kho_tiền_26]","Thu thập hồ sơ thực hiện, phỏng vấn người phụ trách và đối chiếu với điều khoản nguồn.",NEEDS_HUMAN_REVIEW
CHK_01,Bảo mật CNTT & AI,Khối CNTT,"Khối CNTT có thực hiện đúng yêu cầu tại Điều 9. Tiêu chuẩn mã hóa dữ liệu ứng dụng AI, bao gồm bảo vệ dữ liệu và lưu audit trail đầy đủ không?","Lộ dữ liệu nhạy cảm, mất khả năng truy vết hoặc không đáp ứng yêu cầu an toàn thông tin.",HIGH,[600/QC-NHNO-CNTT - Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT | Điều 9 | doc_agr_it07_01],"Kiểm tra cấu hình mã hóa, quyền truy cập, trường log bắt buộc và bằng chứng lưu trữ audit trail.",NEEDS_HUMAN_REVIEW
CHK_02,Bảo mật CNTT & AI,Khối CNTT,"Khối CNTT có thực hiện đúng yêu cầu tại Điều 16. Thời hạn lưu trữ và trường thông tin Audit Log, bao gồm bảo vệ dữ liệu và lưu audit trail đầy đủ không?","Lộ dữ liệu nhạy cảm, mất khả năng truy vết hoặc không đáp ứng yêu cầu an toàn thông tin.",HIGH,[600/QC-NHNO-CNTT - Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT | Điều 16 | doc_agr_it07_02],"Kiểm tra cấu hình mã hóa, quyền truy cập, trường log bắt buộc và bằng chứng lưu trữ audit trail.",NEEDS_HUMAN_REVIEW
