question_id,question,query_type,expected_chunk_id,method,gold_rank,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,top_1_chunk_id,top_2_chunk_id,top_3_chunk_id,top_4_chunk_id,top_5_chunk_id,error
E01,Điều 28 Thông tư 01/2014/TT-NHNN quy định bảo quản chìa khóa cửa kho tiền như thế nào?,EXACT_KEYWORD,44209-chunk-0040,bm25,4.0,0,0,1,0.25,44209-chunk-0048,44209-chunk-0046,44209-chunk-0041,44209-chunk-0040,44209-chunk-0043,
E01,Điều 28 Thông tư 01/2014/TT-NHNN quy định bảo quản chìa khóa cửa kho tiền như thế nào?,EXACT_KEYWORD,44209-chunk-0040,dense,,0,0,0,0.0,44209-chunk-0044,44209-chunk-0048,44209-chunk-0039,44209-chunk-0041,44209-chunk-0046,
E01,Điều 28 Thông tư 01/2014/TT-NHNN quy định bảo quản chìa khóa cửa kho tiền như thế nào?,EXACT_KEYWORD,44209-chunk-0040,hybrid,,0,0,0,0.0,44209-chunk-0048,44209-chunk-0044,44209-chunk-0046,44209-chunk-0041,44209-chunk-0039,
E01,Điều 28 Thông tư 01/2014/TT-NHNN quy định bảo quản chìa khóa cửa kho tiền như thế nào?,EXACT_KEYWORD,44209-chunk-0040,hybrid_rerank,1.0,1,1,1,1.0,44209-chunk-0040,44209-chunk-0043,44209-chunk-0041,44209-chunk-0042,44209-chunk-0049,
E02,Điều 25 Thông tư 27/2024/TT-NHNN quy định mức trích nộp Quỹ bảo toàn bao nhiêu?,EXACT_KEYWORD,168220-chunk-0038,bm25,1.0,1,1,1,1.0,168220-chunk-0038,168220-chunk-0003,168220-chunk-0020,168220-chunk-0043,168220-chunk-0004,
E02,Điều 25 Thông tư 27/2024/TT-NHNN quy định mức trích nộp Quỹ bảo toàn bao nhiêu?,EXACT_KEYWORD,168220-chunk-0038,dense,,0,0,0,0.0,168220-chunk-0009,168220-chunk-0033,168220-chunk-0036,168220-chunk-0047,168220-chunk-0034,
E02,Điều 25 Thông tư 27/2024/TT-NHNN quy định mức trích nộp Quỹ bảo toàn bao nhiêu?,EXACT_KEYWORD,168220-chunk-0038,hybrid,,0,0,0,0.0,168220-chunk-0047,168220-chunk-0036,168220-chunk-0009,168220-chunk-0003,168220-chunk-0034,
E02,Điều 25 Thông tư 27/2024/TT-NHNN quy định mức trích nộp Quỹ bảo toàn bao nhiêu?,EXACT_KEYWORD,168220-chunk-0038,hybrid_rerank,1.0,1,1,1,1.0,168220-chunk-0038,168220-chunk-0003,168220-chunk-0048,168220-chunk-0006,168220-chunk-0004,
E03,Điều 4 Thông tư 105/2016/TT-BTC yêu cầu hồ sơ đăng ký đầu tư gián tiếp ra nước ngoài gồm gì?,EXACT_KEYWORD,112924-chunk-0008,bm25,,0,0,0,0.0,112924-chunk-0024,112924-chunk-0025,112924-chunk-0021,112924-chunk-0009,112924-chunk-0010,
E03,Điều 4 Thông tư 105/2016/TT-BTC yêu cầu hồ sơ đăng ký đầu tư gián tiếp ra nước ngoài gồm gì?,EXACT_KEYWORD,112924-chunk-0008,dense,,0,0,0,0.0,112924-chunk-0027,112924-chunk-0010,112924-chunk-0021,112924-chunk-0024,112924-chunk-0020,
E03,Điều 4 Thông tư 105/2016/TT-BTC yêu cầu hồ sơ đăng ký đầu tư gián tiếp ra nước ngoài gồm gì?,EXACT_KEYWORD,112924-chunk-0008,hybrid,,0,0,0,0.0,112924-chunk-0024,112924-chunk-0021,112924-chunk-0010,112924-chunk-0025,112924-chunk-0020,
E03,Điều 4 Thông tư 105/2016/TT-BTC yêu cầu hồ sơ đăng ký đầu tư gián tiếp ra nước ngoài gồm gì?,EXACT_KEYWORD,112924-chunk-0008,hybrid_rerank,,0,0,0,0.0,112924-chunk-0025,112924-chunk-0024,112924-chunk-0010,112924-chunk-0021,112924-chunk-0009,
S01,Tiền nhàn rỗi của Quỹ bảo toàn phải được sử dụng theo nguyên tắc nào?,SEMANTIC,168220-chunk-0037,bm25,1.0,1,1,1,1.0,168220-chunk-0037,163441-chunk-0171,112025-chunk-0099,168220-chunk-0039,112025-chunk-0163,
S01,Tiền nhàn rỗi của Quỹ bảo toàn phải được sử dụng theo nguyên tắc nào?,SEMANTIC,168220-chunk-0037,dense,1.0,1,1,1,1.0,168220-chunk-0037,168220-chunk-0044,168220-chunk-0043,168220-chunk-0040,168220-chunk-0036,
